A2000J01
Córdoba,33,8,12,11,10,31,29,47
Salamanca,33,9,14,5,14,37,37,47
Levante,33,10,10,15,8,40,35,45
Real Jaén,33,11,11,11,11,23,32,44
Badajoz,33,12,9,17,7,28,27,44
Extremadura,33,13,12,7,14,32,38,43
Eibar,33,14,9,15,9,23,21,42
Murcia,33,15,10,11,12,46,47,41
Leganés,33,16,8,16,9,38,34,40
R. Ferrol,33,17,8,11,14,35,41,35
Compostela,33,18,9,8,16,31,54,35
Elche,33,19,7,12,14,32,44,33
Getafe,33,20,8,8,17,34,48,32
Univer. L.P.,33,21,4,15,14,23,43,27
Lleida,33,22,4,11,18,29,46,23
A2000J34
Sevilla,34,1,18,9,7,51,31,63
Tenerife,34,2,17,9,8,50,27,60
Betis,34,3,16,11,7,35,24,59
Recreativo,34,4,13,17,4,38,21,56
Atlético,34,5,15,10,9,49,34,55
Albacete,34,6,14,11,9,35,31,53
Sporting,34,7,13,10,11,44,40,49
Levante,34,8,11,15,8,42,36,48
Salamanca,34,9,14,6,14,38,38,48
Córdoba,34,10,12,11,11,31,30,47
Extremadura,34,11,13,7,14,33,38,46
Eibar,34,12,10,15,9,25,22,45
Badajoz,34,13,9,18,7,28,27,45
Real Jaén,34,14,11,12,11,23,32,45
Murcia,34,15,10,12,12,46,47,42
Leganés,34,16,8,17,9,38,34,41
Compostela,34,17,10,8,16,33,55,38
R. Ferrol,34,18,8,12,14,36,42,36
Elche,34,19,7,13,14,33,45,34
Getafe,34,20,8,9,17,35,49,33
Univer. L.P.,34,21,4,15,15,23,45,27
Lleida,34,22,4,11,19,30,48,23
A2000J35
Sevilla,35,1,18,10,7,52,32,64
Tenerife,35,2,18,9,8,52,27,63
Betis,35,3,17,11,7,39,25,62
Recreativo,35,4,13,18,4,39,22,57
Atlético,35,5,15,10,10,49,37,55
Albacete,35,6,14,11,10,35,34,53
Salamanca,35,7,15,6,14,39,38,51
Sporting,35,8,13,11,11,45,41,50
Córdoba,35,9,13,11,11,33,30,50
Levante,35,10,11,16,8,45,39,49
Real Jaén,35,11,12,12,11,26,32,48
Extremadura,35,12,13,7,15,33,39,46
Murcia,35,13,11,12,12,49,47,45
Eibar,35,14,10,15,10,25,24,45
Badajoz,35,15,9,18,8,28,28,45
Leganés,35,16,8,18,9,39,35,42
Compostela,35,17,10,9,16,34,56,39
R. Ferrol,35,18,8,13,14,37,43,37
Getafe,35,19,8,10,17,38,52,34
Elche,35,20,7,13,15,33,47,34
Univer. L.P.,35,21,5,15,15,24,45,30
Lleida,35,22,4,11,20,31,52,23
A2000J36
Sevilla,36,1,19,10,7,57,34,67
Tenerife,36,2,18,9,9,52,28,63
Betis,36,3,17,12,7,40,26,63
Recreativo,36,4,14,18,4,40,22,60
Atlético,36,5,16,10,10,52,38,58
Albacete,36,6,15,11,10,37,34,56
Sporting,36,7,14,11,11,46,41,53
Córdoba,36,8,13,12,11,33,30,51
Salamanca,36,9,15,6,15,40,41,51
Levante,36,10,11,17,8,48,42,50
Extremadura,36,11,14,7,15,34,39,49
Eibar,36,12,11,15,10,28,24,48
Real Jaén,36,13,12,12,12,26,33,48
Murcia,36,14,11,13,12,49,47,46
Badajoz,36,15,9,18,9,30,33,45
Leganés,36,16,8,19,9,40,36,43
R. Ferrol,36,17,9,13,14,38,43,40
Compostela,36,18,10,9,17,34,58,39
Elche,36,19,7,14,15,36,50,35
Getafe,36,20,8,10,18,38,53,34
Univer. L.P.,36,21,5,15,16,24,48,30
Lleida,36,22,4,11,21,31,53,23
A2000J37
Sevilla,37,1,19,10,8,57,36,67
Tenerife,37,2,18,10,9,52,28,64
